,Date,S&P 500 (TR),S&P 500 (Net TR),S&P 500,unemployment_rate,all_real_avg_hourly_earnings,all_real_avg_weekly_earnings,CPI_All_Urban_Consumers,Production_nonsupervisory_emp_real_avg_hourly_earnings,Production_nonsupervisory_emp_real_avg_weekly_earnings,CPI_Urban_Wage_Earners_and_Clerical,Real_GDP(T),1 Mo(DTY),2 Mo(DTY),3 Mo(DTY),6 Mo(DTY),1 Yr(DTY),2 Yr(DTY),3 Yr(DTY),5 Yr(DTY),7 Yr(DTY),10 Yr(DTY),20 Yr(DTY),30 Yr(DTY)
244,5/15/2020,5852.84,5172.75,2863.7,,,,,,,,,0.09,0.09,0.12,0.15,0.15,0.16,0.19,0.31,0.49,0.64,1.05,1.32
245,5/18/2020,6037.9,5336.13,2953.91,,,,,,,,,0.1,0.11,0.13,0.15,0.17,0.18,0.24,0.38,0.57,0.73,1.17,1.44
246,5/19/2020,5975.15,5280.52,2922.94,,,,,,,,,0.09,0.11,0.13,0.15,0.16,0.17,0.22,0.35,0.54,0.7,1.15,1.43
247,5/20/2020,6075.76,5369.14,2971.61,,,,,,,,,0.08,0.11,0.12,0.14,0.16,0.16,0.21,0.34,0.53,0.68,1.19,1.4
248,5/21/2020,6028.93,5327.65,2948.51,,,,,,,,,0.09,0.11,0.12,0.14,0.16,0.17,0.21,0.35,0.53,0.68,1.16,1.4
249,5/22/2020,6044.16,5340.84,2955.45,,,,,,,,,0.09,0.11,0.12,0.16,0.17,0.17,0.21,0.34,0.51,0.66,1.12,1.37
250,5/26/2020,6118.54,5406.53,2991.77,,,,,,,,,0.1,0.12,0.14,0.17,0.17,0.18,0.22,0.35,0.53,0.69,1.19,1.43
251,5/27/2020,6209.38,5486.77,3036.13,,,,,,,,,0.11,0.14,0.15,0.17,0.18,0.19,0.22,0.34,0.52,0.68,1.19,1.44
252,5/28/2020,6197.02,5475.65,3029.73,,,,,,,,,0.14,0.15,0.15,0.18,0.17,0.17,0.22,0.34,0.54,0.7,1.23,1.47
253,5/29/2020,6227.81,5502.6,3044.31,,,,,,,,,0.13,0.14,0.14,0.18,0.17,0.16,0.19,0.3,0.5,0.65,1.18,1.41
255,5/31/2020,,,,13.3,,,,,,,,,,,,,,,,,,,
379,6/1/2020,,,,,,,,,,,,0.12,0.14,0.14,0.18,0.17,0.14,0.2,0.31,0.5,0.66,1.22,1.46
380,6/2/2020,,,,,,,,,,,,0.12,0.13,0.15,0.18,0.17,0.17,0.2,0.32,0.52,0.68,1.24,1.48
381,6/3/2020,,,,,,,,,,,,0.12,0.14,0.16,0.19,0.17,0.19,0.26,0.38,0.59,0.77,1.32,1.56
382,6/4/2020,,,,,,,,,,,,0.13,0.15,0.15,0.18,0.17,0.19,0.26,0.4,0.63,0.82,1.38,1.61
